Experiment Run,Simulation,Generation,Agent_number,Generation_size,Function,Block,Program,Strategy,Final_Fitness,agentsout,blockmutationrate,elitismquantity,filename,fitnessfunctiontype,fitnesspower,generationsize,generationspacing,generationspercycle,inheritposition,k,lengthtogens,n,numberofblocks,phenotypemutationrate,phenotypetype,programlength,programmutationrate,requirelastgeneration,samplesize,seed,selectiontype,singlestart,steps,strategyexecutionsamplesize,tournamentsize,useratio,writerparams
10,1,10,0,50,NKLandscape,"{SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb}",0,"[SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb]",1.0,1,0,5,results,NKLandscape,8,50,1,1,False,1,"9,10",15,1,0.066,NKPhenotype,1,0,True,1,1,ranked,False,SteepestClimb,1,2,True,"generation size,function string,block,program,strategy,final fitness"
11,1,5,0,50,NKLandscape,"{SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb}",0,"[SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb]",1.0,1,0,5,results,NKLandscape,8,50,1,1,False,1,"19,5",15,1,0.066,NKPhenotype,1,0,True,1,1,ranked,False,SteepestClimb,1,2,True,"generation size,function string,block,program,strategy,final fitness"
12,1,2,0,50,NKLandscape,"{SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb}",0,"[SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb]",1.0,1,0,5,results,NKLandscape,8,50,1,1,False,1,"49,2",15,1,0.066,NKPhenotype,1,0,True,1,1,ranked,False,SteepestClimb,1,2,True,"generation size,function string,block,program,strategy,final fitness"
13,1,0,0,50,NKLandscape,"{SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb}",0,"[SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb]",1.0,1,0,5,results,NKLandscape,8,50,1,1,False,1,"100,0",15,1,0.066,NKPhenotype,1,0,True,1,1,ranked,False,SteepestClimb,1,2,True,"generation size,function string,block,program,strategy,final fitness"
14,1,100,0,50,NKLandscape,},0,[],1.0,1,0,5,results,NKLandscape,8,50,1,1,False,2,"0,100",15,1,0.066,NKPhenotype,1,0,True,1,1,ranked,False,SteepestClimb,1,2,True,"generation size,function string,block,program,strategy,final fitness"
15,1,50,0,50,NKLandscape,{SteepestClimb},0,[SteepestClimb],1.0,1,0,5,results,NKLandscape,8,50,1,1,False,2,"1,50",15,1,0.066,NKPhenotype,1,0,True,1,1,ranked,False,SteepestClimb,1,2,True,"generation size,function string,block,program,strategy,final fitness"
16,1,20,0,50,NKLandscape,"{SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb}",0,"[SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb]",1.0,1,0,5,results,NKLandscape,8,50,1,1,False,2,"4,20",15,1,0.066,NKPhenotype,1,0,True,1,1,ranked,False,SteepestClimb,1,2,True,"generation size,function string,block,program,strategy,final fitness"
17,1,10,0,50,NKLandscape,"{SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb}",0,"[SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb]",1.0,1,0,5,results,NKLandscape,8,50,1,1,False,2,"9,10",15,1,0.066,NKPhenotype,1,0,True,1,1,ranked,False,SteepestClimb,1,2,True,"generation size,function string,block,program,strategy,final fitness"
18,1,5,0,50,NKLandscape,"{SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb}",0,"[SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb]",1.0,1,0,5,results,NKLandscape,8,50,1,1,False,2,"19,5",15,1,0.066,NKPhenotype,1,0,True,1,1,ranked,False,SteepestClimb,1,2,True,"generation size,function string,block,program,strategy,final fitness"
19,1,2,0,50,NKLandscape,"{SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb}",0,"[SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb]",1.0,1,0,5,results,NKLandscape,8,50,1,1,False,2,"49,2",15,1,0.066,NKPhenotype,1,0,True,1,1,ranked,False,SteepestClimb,1,2,True,"generation size,function string,block,program,strategy,final fitness"
20,1,0,0,50,NKLandscape,"{SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb}",0,"[SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb]",1.0,1,0,5,results,NKLandscape,8,50,1,1,False,2,"100,0",15,1,0.066,NKPhenotype,1,0,True,1,1,ranked,False,SteepestClimb,1,2,True,"generation size,function string,block,program,strategy,final fitness"
21,1,100,0,50,NKLandscape,},0,[],1.0,1,0,5,results,NKLandscape,8,50,1,1,False,3,"0,100",15,1,0.066,NKPhenotype,1,0,True,1,1,ranked,False,SteepestClimb,1,2,True,"generation size,function string,block,program,strategy,final fitness"
22,1,50,0,50,NKLandscape,{SteepestClimb},0,[SteepestClimb],1.0,1,0,5,results,NKLandscape,8,50,1,1,False,3,"1,50",15,1,0.066,NKPhenotype,1,0,True,1,1,ranked,False,SteepestClimb,1,2,True,"generation size,function string,block,program,strategy,final fitness"
23,1,20,0,50,NKLandscape,"{SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb}",0,"[SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb]",1.0,1,0,5,results,NKLandscape,8,50,1,1,False,3,"4,20",15,1,0.066,NKPhenotype,1,0,True,1,1,ranked,False,SteepestClimb,1,2,True,"generation size,function string,block,program,strategy,final fitness"
24,1,10,0,50,NKLandscape,"{SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb}",0,"[SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb]",1.0,1,0,5,results,NKLandscape,8,50,1,1,False,3,"9,10",15,1,0.066,NKPhenotype,1,0,True,1,1,ranked,False,SteepestClimb,1,2,True,"generation size,function string,block,program,strategy,final fitness"
25,1,5,0,50,NKLandscape,"{SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb}",0,"[SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb]",1.0,1,0,5,results,NKLandscape,8,50,1,1,False,3,"19,5",15,1,0.066,NKPhenotype,1,0,True,1,1,ranked,False,SteepestClimb,1,2,True,"generation size,function string,block,program,strategy,final fitness"
26,1,2,0,50,NKLandscape,"{SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb,SteepestClimb}",0,"[SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb, SteepestClimb]",1.0,1,0,5,results,NKLandscape,8,50,1,1,False,3,"49,2",15,1,0.066,NKPhenotype,1,0,True,1,1,ranked,False,SteepestClimb,1,2,True,"generation size,function string,block,program,strategy,final fitness"
